Tokens_no_stopwords,COUNTA of Tokens_no_stopwords,,
,,,
,,,
,,,
,,,
,,,
,,,
my,82,,Filters removed blanks and words with fewer than 3 occurences.
spotify,80,,
,,,
,,,
,,,
its,56,,
,,,
#VALUE!,51,,
,,,
,,,
,,,
,,,
be,41,,
all,41,,
or,40,,
,,,
if,38,,
,,,
,,,
are,37,,
,,,
,,,
,,,
,,,
now,33,,
,,,
premium,32,,
,,,
listen,32,,
,,,
only,31,,
,,,
,,,
,,,
,,,
ads,29,,
,,,
really,28,,
,,,
,,,
,,,
,,,
there,22,,
,,,
,,,
will,21,,
any,21,,
would,20,,
want,20,,
,,,
other,20,,
more,20,,
every,20,,
an,20,,
,,,
out,19,,
,,,
because,19,,
update,18,,
,,,
,,,
has,18,,
,,,
years,16,,
,,,
,,,
do,16,,
what,15,,
,,,
had,15,,
,,,
after,15,,
,,,
them,14,,
podcast,14,,
,,,
,,,
,,,
,,,
,,,
way,13,,
,,,
,,,
stop,13,,
,,,
,,,
artists,13,,
,,,
,,,
could,12,,
,,,
,,,
,,,
,,,
same,11,,
,,,
,,,
offline,11,,
,,,
,,,
going,11,,
,,,
,,,
,,,
by,11,,
,,,
,,,
,,,
,,,
keeps,10,,
,,,
,,,
,,,
easy,10,,
,,,
,,,
ad,10,,
stars,9,,
,,,
,,,
randomly,9,,
,,,
,,,
,,,
about,9,,
,,,
working,8,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
month,8,,
,,,
,,,
day,8,,
,,,
,,,
,,,
,,,
,,,
,,,
paying,7,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
everything,7,,
,,,
,,,
,,,
another,7,,
,,,
works,6,,
wish,6,,
,,,
we,6,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
show,6,,
,,,
,,,
,,,
plays,6,,
pandora,6,,
,,,
,,,
off,6,,
,,,
multiple,6,,
make,6,,
,,,
long,6,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
variety,5,,
,,,
thanks,5,,
,,,
,,,
,,,
shuffle,5,,
,,,
,,,
rogan,5,,
,,,
platform,5,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
got,5,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
wonderful,4,,
their,4,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
screen,4,,
reinstall,4,,
recommended,4,,
,,,
recently,4,,
,,,
,,,
,,,
,,,
point,4,,
,,,
,,,
overall,4,,
,,,
mobile,4,,
,,,
,,,
look,4,,
,,,
,,,
,,,
instead,4,,
,,,
,,,
here,4,,
,,,
,,,
,,,
,,,
gives,4,,
,,,
function,4,,
,,,
,,,
error,4,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
crashing,4,,
,,,
click,4,,
,,,
,,,
,,,
,,,
button,4,,
,,,
,,,
,,,
being,4,,
bad,4,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
ui,3,,
,,,
