Review_lower,Review_no_punct,Review_cleaned_basic,Review_length,Length_buckets,Rating,Total_thumbsup,Reply,Tokens,Tokens_no_stopwords,Tokens_joined,Rating_joined
"it was a good app at the start, but without spotify premium, it removes music for literally no reason. by example if i search up a popular song it's going to show it and i would be able to listen to it. but after time of using it, if i search up the same exact thing, it won't be there. please fix this. oh and also, 6 skip per hour, seriously? come on.",it was a good app at the start but without spotify premium it removes music for literally no reason by example if i search up a popular song its going to show it and i would be able to listen to it but after time of using it if i search up the same exact thing it wont be there please fix this oh and also 6 skip per hour seriously come on,it was a good app at the start but without spotify premium it removes music for literally no reason by example if i search up a popular song its going to show it and i would be able to listen to it but after time of using it if i search up the same exact thing it wont be there please fix this oh and also 6 skip per hour seriously come on,73.00,50 - 99 words,2.00,0.00,,it,,it was a good app at the start but without spotify premium it removes music for literally no reason by example if i search up a popular song its going to show it and i would be able to listen to it but after time of using it if i search up the same exact thing it wont be there please fix this oh and also 6 skip per hour seriously come on,2.00
this song app is very usefull app and i listen all the songs without any subscription thanks spotify☺️,this song app is very usefull app and i listen all the songs without any subscription thanks spotify,this song app is very usefull app and i listen all the songs without any subscription thanks spotify,18.00,10 - 19 words,5.00,0.00,,was,was,this song app is very usefull app and i listen all the songs without any subscription thanks spotify,5.00
it won't connect at all it only sp8ns the app after you turn it on,it wont connect at all it only sp8ns the app after you turn it on,it wont connect at all it only sp8ns the app after you turn it on,15.00,10 - 19 words,1.00,0.00,,a,,it wont connect at all it only sp8ns the app after you turn it on,1.00
i love all the music but i hate podcasts. literally less than zero interest in them but it's always shoving them in my face and often they have awkward pictures that i really don't care to see. the latest is they are in a language i don't even know so that's... cool... would honestly give 5 stars if it weren't for that. i wish i had the option to remove the podcast section or at least dislike them so i don't have to see the awkward pictures.,i love all the music but i hate podcasts literally less than zero interest in them but its always shoving them in my face and often they have awkward pictures that i really dont care to see the latest is they are in a language i dont even know so thats cool would honestly give 5 stars if it werent for that i wish i had the option to remove the podcast section or at least dislike them so i dont have to see the awkward pictures,i love all the music but i hate podcasts literally less than zero interest in them but its always shoving them in my face and often they have awkward pictures that i really dont care to see the latest is they are in a language i dont even know so thats cool would honestly give 5 stars if it werent for that i wish i had the option to remove the podcast section or at least dislike them so i dont have to see the awkward pictures,87.00,50 - 99 words,4.00,0.00,,good,good,i love all the music but i hate podcasts literally less than zero interest in them but its always shoving them in my face and often they have awkward pictures that i really dont care to see the latest is they are in a language i dont even know so thats cool would honestly give 5 stars if it werent for that i wish i had the option to remove the podcast section or at least dislike them so i dont have to see the awkward pictures,4.00
"i've been using spotify for 2 years as a subscribed user, and now all of a sudden the app just logged out on its own, and i can't log back in.. it won't accept my email. please fix this problem 😢",ive been using spotify for 2 years as a subscribed user and now all of a sudden the app just logged out on its own and i cant log back in it wont accept my email please fix this problem ,ive been using spotify for 2 years as a subscribed user and now all of a sudden the app just logged out on its own and i cant log back in it wont accept my email please fix this problem ,40.00,20 - 49 words,3.00,0.00,,app,app,ive been using spotify for 2 years as a subscribed user and now all of a sudden the app just logged out on its own and i cant log back in it wont accept my email please fix this problem ,3.00
it helps me calm down and helps me play games longer,it helps me calm down and helps me play games longer,it helps me calm down and helps me play games longer,11.00,10 - 19 words,2.00,1.00,,at,,it helps me calm down and helps me play games longer,2.00
"i love spotify! i have acsess to all my favorite music 24/7 365. theres only been one song that they didnt have. i have a huge genre. like i tell my children, me and spot be hanging out everyday, everywhere and any time!!❤",i love spotify i have acsess to all my favorite music 247 365 theres only been one song that they didnt have i have a huge genre like i tell my children me and spot be hanging out everyday everywhere and any time,i love spotify i have acsess to all my favorite music 247 365 theres only been one song that they didnt have i have a huge genre like i tell my children me and spot be hanging out everyday everywhere and any time,43.00,20 - 49 words,2.00,1.00,,the,,i love spotify i have acsess to all my favorite music 247 365 theres only been one song that they didnt have i have a huge genre like i tell my children me and spot be hanging out everyday everywhere and any time,2.00
"sound quality is good but not as strong as tidal, main quality it has going for it is shear name recognition and getting the diamonds in the rough uploaded that might not be on other platforms (artists, wink wink) has no block features for songs you don't like that keep showing up, and it's prediction algorithm keeps suggesting the same stuff. i find one new song i like maybe once a month if i'm lucky",sound quality is good but not as strong as tidal main quality it has going for it is shear name recognition and getting the diamonds in the rough uploaded that might not be on other platforms artists wink wink has no block features for songs you dont like that keep showing up and its prediction algorithm keeps suggesting the same stuff i find one new song i like maybe once a month if im lucky,sound quality is good but not as strong as tidal main quality it has going for it is shear name recognition and getting the diamonds in the rough uploaded that might not be on other platforms artists wink wink has no block features for songs you dont like that keep showing up and its prediction algorithm keeps suggesting the same stuff i find one new song i like maybe once a month if im lucky,75.00,50 - 99 words,5.00,12.00,,start,start,sound quality is good but not as strong as tidal main quality it has going for it is shear name recognition and getting the diamonds in the rough uploaded that might not be on other platforms artists wink wink has no block features for songs you dont like that keep showing up and its prediction algorithm keeps suggesting the same stuff i find one new song i like maybe once a month if im lucky,5.00
app is good but sound quality is bad... plz make high quality sound..,app is good but sound quality is bad plz make high quality sound,app is good but sound quality is bad plz make high quality sound,13.00,10 - 19 words,2.00,0.00,,but,but,app is good but sound quality is bad plz make high quality sound,2.00
i love spotify! i use this app everyday!🥰,i love spotify i use this app everyday,i love spotify i use this app everyday,8.00,<10 words,5.00,0.00,,without,without,i love spotify i use this app everyday,5.00
"fine for music, terrible podcast player (i'm a paid subscriber). i can't count the number of times i've had a podcast stop in the middle and either be marked played, or jump to another random episode. this has been going on for quite awhile now and has happened countless times on multiple devices. too bad this is the only way to listen to rogan.",fine for music terrible podcast player im a paid subscriber i cant count the number of times ive had a podcast stop in the middle and either be marked played or jump to another random episode this has been going on for quite awhile now and has happened countless times on multiple devices too bad this is the only way to listen to rogan,fine for music terrible podcast player im a paid subscriber i cant count the number of times ive had a podcast stop in the middle and either be marked played or jump to another random episode this has been going on for quite awhile now and has happened countless times on multiple devices too bad this is the only way to listen to rogan,64.00,50 - 99 words,1.00,0.00,,spotify,spotify,fine for music terrible podcast player im a paid subscriber i cant count the number of times ive had a podcast stop in the middle and either be marked played or jump to another random episode this has been going on for quite awhile now and has happened countless times on multiple devices too bad this is the only way to listen to rogan,1.00
i dont care that people of differing opinions have different opinions. i have used spotify for years i love it and will continue to love it as long as they keep on keeping on. i like your loyalty so you have mine,i dont care that people of differing opinions have different opinions i have used spotify for years i love it and will continue to love it as long as they keep on keeping on i like your loyalty so you have mine,i dont care that people of differing opinions have different opinions i have used spotify for years i love it and will continue to love it as long as they keep on keeping on i like your loyalty so you have mine,42.00,20 - 49 words,5.00,0.00,,premium,premium,i dont care that people of differing opinions have different opinions i have used spotify for years i love it and will continue to love it as long as they keep on keeping on i like your loyalty so you have mine,5.00
good content lots music and podcasts reliable,good content lots music and podcasts reliable,good content lots music and podcasts reliable,7.00,<10 words,5.00,0.00,,it,,good content lots music and podcasts reliable,5.00
"i love, love, love spotify! will always use it over anything else. subscribed for probably two years now and won't be canceling it anytime soon. however, recently the app doesn't always show what i'm currently listening to and crashes after a couple songs. generally a close and restart of the app fixes it, but not 100% of the time. sometimes it takes multiple restarts. it'll this several times a day. i'm up to date on updates, too. this only started about a month ago now, but i'm not sure why.",i love love love spotify will always use it over anything else subscribed for probably two years now and wont be canceling it anytime soon however recently the app doesnt always show what im currently listening to and crashes after a couple songs generally a close and restart of the app fixes it but not 100 of the time sometimes it takes multiple restarts itll this several times a day im up to date on updates too this only started about a month ago now but im not sure why,i love love love spotify will always use it over anything else subscribed for probably two years now and wont be canceling it anytime soon however recently the app doesnt always show what im currently listening to and crashes after a couple songs generally a close and restart of the app fixes it but not 100 of the time sometimes it takes multiple restarts itll this several times a day im up to date on updates too this only started about a month ago now but im not sure why,90.00,50 - 99 words,1.00,5.00,,removes,removes,i love love love spotify will always use it over anything else subscribed for probably two years now and wont be canceling it anytime soon however recently the app doesnt always show what im currently listening to and crashes after a couple songs generally a close and restart of the app fixes it but not 100 of the time sometimes it takes multiple restarts itll this several times a day im up to date on updates too this only started about a month ago now but im not sure why,1.00
awsome app love that i can get a variety of music that matches my mood,awsome app love that i can get a variety of music that matches my mood,awsome app love that i can get a variety of music that matches my mood,15.00,10 - 19 words,4.00,1.00,,music,music,awsome app love that i can get a variety of music that matches my mood,4.00
